airline,date,price
AAL,10/02/15,38.2168
AAL,10/09/15,41.9662
AAL,10/16/15,43.2424
AAL,10/23/15,45.1815
AAL,10/30/15,45.7256
AAL,11/06/15,44.9517
AAL,11/13/15,43.0779
AAL,11/20/15,41.8386
AAL,11/27/15,41.333
AAL,12/04/15,44.5849
AAL,12/11/15,41.7296
AAL,12/18/15,40.7381
AAL,12/25/15,43.4348
AAL,01/01/16,41.9873
AAL,01/08/16,40.0243
AAL,01/15/16,38.4281
AAL,01/22/16,39.8161
AAL,01/29/16,38.6561
AAL,02/05/16,36.4353
AAL,02/12/16,37.5984
AAL,02/19/16,39.5271
AAL,02/26/16,40.6306
AAL,03/04/16,41.3861
AAL,03/11/16,42.2212
AAL,03/18/16,43.1855
AAL,03/25/16,40.2627
AAL,04/01/16,39.2885
AAL,04/08/16,38.2745
AAL,04/15/16,40.6703
AAL,04/22/16,37.9862
AAL,04/29/16,34.4868
AAL,05/06/16,32.9314
AAL,05/13/16,31.416
AAL,05/20/16,31.9145
AAL,05/27/16,31.5556
AAL,06/03/16,30.7181
AAL,06/10/16,33.0411
AAL,06/17/16,29.2524
AAL,06/24/16,26.9693
AAL,07/01/16,29.2425
AAL,07/08/16,29.9504
AAL,07/15/16,35.7829
AAL,07/22/16,36.2515
AAL,07/29/16,35.3941
AAL,08/05/16,34.44
AAL,08/12/16,34.92
AAL,08/19/16,36.49
AAL,08/26/16,36.23
AAL,09/02/16,36.53
AAL,09/09/16,38.49
AAL,09/16/16,35.49
AAL,09/23/16,35.55
AAL,09/30/16,36.61
AAL,10/07/16,37.73
DAL,10/02/15,44.2241
DAL,10/09/15,46.5304
DAL,10/16/15,48.4129
DAL,10/23/15,50.2659
DAL,10/30/15,50.1082
DAL,11/06/15,50.5969
DAL,11/13/15,48.413
DAL,11/20/15,48.1857
DAL,11/27/15,46.5847
DAL,12/04/15,49.1936
DAL,12/11/15,48.6995
DAL,12/18/15,49.3715
DAL,12/25/15,51.6444
DAL,01/01/16,50.0929
DAL,01/08/16,46.061
DAL,01/15/16,43.9758
DAL,01/22/16,46.2092
DAL,01/29/16,43.7683
DAL,02/05/16,41.5152
DAL,02/12/16,42.6184
DAL,02/19/16,46.3161
DAL,02/26/16,47.4463
DAL,03/04/16,48.2493
DAL,03/11/16,47.2777
DAL,03/18/16,49.6173
DAL,03/25/16,47.4264
DAL,04/01/16,46.6036
DAL,04/08/16,45.8898
DAL,04/15/16,47.0894
DAL,04/22/16,44.2343
DAL,04/29/16,41.3098
DAL,05/06/16,41.6766
DAL,05/13/16,41.3732
DAL,05/20/16,42.8651
DAL,05/27/16,42.885
DAL,06/03/16,41.3434
DAL,06/10/16,41.8108
DAL,06/17/16,37.8028
DAL,06/24/16,34.9882
DAL,07/01/16,36.5696
DAL,07/08/16,37.1663
DAL,07/15/16,39.7621
DAL,07/22/16,38.7476
DAL,07/29/16,38.5388
DAL,08/05/16,37.4647
DAL,08/12/16,36.35
DAL,08/19/16,36.77
DAL,08/26/16,36.09
DAL,09/02/16,37.17
DAL,09/09/16,37.75
DAL,09/16/16,36.77
DAL,09/23/16,38.78
DAL,09/30/16,39.36
DAL,10/07/16,38.95
UAL,10/02/15,51.76
UAL,10/09/15,55.71
UAL,10/16/15,55.97
UAL,10/23/15,59.68
UAL,10/30/15,60.31
UAL,11/06/15,61.49
UAL,11/13/15,58.8
UAL,11/20/15,58.81
UAL,11/27/15,56.82
UAL,12/04/15,58.94
UAL,12/11/15,57.03
UAL,12/18/15,56.92
UAL,12/25/15,59.78
UAL,01/01/16,57.3
UAL,01/08/16,51.89
UAL,01/15/16,45.67
UAL,01/22/16,46.72
UAL,01/29/16,48.28
UAL,02/05/16,46.86
UAL,02/12/16,48.35
UAL,02/19/16,53.82
UAL,02/26/16,56.58
UAL,03/04/16,58
UAL,03/11/16,58.37
UAL,03/18/16,60.41
UAL,03/25/16,57.84
UAL,04/01/16,56.72
UAL,04/08/16,53.08
UAL,04/15/16,56.9
UAL,04/22/16,50.74
UAL,04/29/16,45.81
UAL,05/06/16,45.7
UAL,05/13/16,43.84
UAL,05/20/16,44.49
UAL,05/27/16,45.18
UAL,06/03/16,44.3
UAL,06/10/16,46.08
UAL,06/17/16,42.62
UAL,06/24/16,41.06
UAL,07/01/16,41.37
UAL,07/08/16,41.48
UAL,07/15/16,47.43
UAL,07/22/16,47.57
UAL,07/29/16,46.89
UAL,08/05/16,48.41
UAL,08/12/16,47.1
UAL,08/19/16,47.09
UAL,08/26/16,46.87
UAL,09/02/16,51.09
UAL,09/09/16,52.45
UAL,09/16/16,51
UAL,09/23/16,50.95
UAL,09/30/16,52.47
UAL,10/07/16,52.82
